Species,wprey,wpredator,Nprey
sardine,0.01137,108.614,5.7451
sardine,0.004932457,108.614,0.0044
sardine,0.004932457,108.614,0.0088
sardine,0.004932457,108.614,1.0220
sardine,0.004932457,108.614,0.0066
sardine,0.004932457,108.614,0.0637
sardine,0.004932457,108.614,0.0176
sardine,0.000267,108.614,0.1319
sardine,0.000267,108.614,0.0352
sardine,0.000267,108.614,0.1758
sardine,0.004932457,108.614,0.7165
sardine,0.004932457,108.614,0.0549
sardine,0.004932457,108.614,0.0066
sardine,0.004932457,108.614,0.1648
sardine,0.004932457,108.614,0.0022
sardine,0.004932457,108.614,0.0352
sardine,0.012491287,108.614,0.0044
sardine,0.004932457,108.614,0.0044
